,AAPL,ADBE,ORCL,AMZN,INTC,MSFT,NVDA,IBM,NFLX,GOOGL,CRM,CSCO
0,-0.6169239191777933,-5.5782988293598805,-0.9249620746697644,-0.9019255615377091,-0.49909418888871926,-1.568303875421833,-1.6267294822215206,1.854690000000005,-2.2241794356402806,-2.032829860415788,-7.4967226771879325,-0.1870405306648948
1,-2.330316089259071,-5.745854529369524,-1.603646176161547,-1.449471836139253,-0.3217248140406994,-2.403881843586163,-3.534068754996156,0.17208800000000224,-0.6694050938501732,-1.8295689893010092,-12.072011606691433,-1.8105472060908951
2,-3.327822502477005,-9.34789905776563,-1.903815429447505,-2.8771792323682632,-1.578089294024764,-4.467074684021753,-5.858584374099593,0.5544960000000003,-4.96698073176583,-3.725628447727132,-19.979472068511967,-2.1401727225773897
3,-2.579597325551603,-3.404405038302059,-0.3208070353518906,-0.23206527152467515,0.9315740119655445,-0.15880437605247266,-3.3545986840692876,2.782027999999997,3.8840562701348063,-1.5644525613233782,-13.956730764356422,-2.0402133221267107
4,-1.4630603324586104,3.864747426779047,0.028778658613028085,-0.7380089842578599,0.9307702119982224,2.652662030607331,-2.961393829956336,7.112815999999995,-2.3439871298565436,-0.6805407004934949,-6.372997784039114,-0.7702091122107007
5,-2.02910841082803,6.585478266437576,-1.060892462393717,-1.7419406597947926,0.013139935066575958,1.9329462633209573,-5.546123853142234,5.946464000000006,-5.834964608154166,-1.011859700035103,-3.798614104528781,-2.6702065597762186
6,-1.4537776671951974,-2.726447745668281,-1.1350955496038182,-2.745880727661117,0.647544836659165,-0.639674028152939,-10.044226741846629,5.917784999999995,-17.909194966956363,-1.5765181994959931,-7.512897401778815,-3.090208512194536
7,-3.3091902064808068,-5.620637173318698,-1.4194622044828549,-3.527325764970314,-1.1128211123463885,-2.331335891538913,-12.663890361268145,1.539199999999994,-16.12995299377974,-2.733544713478963,-9.506200100577018,-3.88020951725305
8,-2.777376826389542,-9.497053468494812,-0.46547816797193775,-4.638259804659484,-1.132140902135525,-0.9933123714621672,-13.157163265951397,2.753349,-14.424383492545417,-1.46204205840084,-11.956701858220214,-3.4302095167152657
9,-4.31095428878821,-20.93158836599747,-1.2417914029219475,-7.0262028441632935,-4.477388970806523,-2.9651836917095693,-14.79381685818801,1.7112809999999996,-10.889674899561669,-4.008288330237136,-13.803479802585372,-4.260207516772439
10,-3.663199065923237,-19.29191820071054,-0.3225483026860161,-4.423636883681539,-2.748540522633114,-0.6770789448573566,-12.809862959285525,3.871894999999995,0.6950715823551263,-3.1584731100499823,-11.248598099955672,-3.460207516766367
11,-4.166426621038539,-22.263198842876648,-0.9585501916220451,-3.8880799231986742,-3.6365311828553786,-0.6989760362627635,-15.296944342075662,4.569793000000004,7.7895300876869555,-4.040547012275397,-14.309086460151576,-3.720210516767011
12,-3.586738114646579,-13.530745736020208,-0.9320696521408891,-3.094518962715881,-3.2198187026214313,1.299113200836274,-12.184161822938066,1.347992000000005,22.503981811354322,-4.163720247399539,-12.76446497455683,-3.660208516766943
13,-3.915488776149502,-11.911571154946898,-1.476519139844413,-2.4784570022330854,-4.778719716459904,1.1172246456212633,-10.231578943325516,-2.2657700000000034,17.548375395546316,-4.106612582051454,-12.581209202145914,-4.78020751676695
14,-3.917613410808727,-16.483286208665106,-1.8590408344864215,-1.9713950417502843,-2.7985586113368868,1.5853306931552424,-9.823448720526287,-1.3001859999999965,24.16279139627062,-4.299998170070523,-17.541483775374104,-4.420206516766946
15,-3.8190051932828055,-23.096571463444093,-1.9722507881600535,-3.9923340812674724,-3.94584185285089,-0.2065731286407413,-13.680175459020049,-1.6539159999999953,18.037183729834965,-4.558249485332311,-10.456511421753675,-6.640208516766947
16,-4.767090061568325,-26.076979254017374,-1.3732157762411674,-5.383275120784674,-3.1570850571729707,0.27152700658123763,-12.961956796422712,-1.644356000000002,12.011581279597635,-5.2712629124585675,-12.764430653494628,-5.120207516766946
17,-5.1160223107433325,-26.694848071071192,-1.4418908605210632,-5.409211160301865,-3.0114580287260466,-1.7503728440584325,-13.124118355740976,-2.7055440000000033,10.785994881947602,-4.98948496795046,-9.84422833125413,-5.71020751676695
18,-5.5333422487349395,-26.060994029266567,-1.8291059501604678,-5.666149199819074,-3.304027857335498,-2.142267699348764,-12.54037989737536,-5.6214140000000015,16.29039033416774,-5.413712928718624,-11.110787234197147,-5.760207516766947
19,-4.808555889291313,-21.81086562336418,-1.025827595704186,-4.733589239336268,-3.881079617859477,0.3558374468907175,-12.48301720401686,-5.468445000000003,24.094802631825246,-3.775728471137839,-7.19422279494222,-5.6802095167669435
20,-7.076736077375671,-28.787968344598767,-2.293251617233267,-5.811031278853463,-5.647260734728199,-3.8660594073730294,-13.991389516847391,-8.499038999999996,18.989181875228894,-5.2323419801548,-9.60630719459175,-6.650210516766947
21,-7.541338497693729,-33.54393020391478,-3.331427815579005,-7.821471318370655,-4.722809199207582,-4.96796126147126,-12.814319741379734,-12.026772000000008,19.26359610347879,-5.720475371422637,-12.461457808271433,-6.950209516766947
22,-10.147446394308488,-32.79750497202616,-2.4412123105361303,-11.618906357887866,-4.196763552058265,-6.3498611156239235,-15.19749284747192,-8.317397999999997,4.867996320285783,-5.624779885462388,-9.96442444752455,-6.870207516766946
23,-12.334253154231078,-42.335073648216394,-2.405063547373693,-13.905844397405062,-5.099828355030468,-13.331751969758699,-18.37804982253033,-6.4053499999999985,4.602371533729013,-6.726925510191293,-18.02415527575897,-6.240206516766946
24,-8.073069416467291,-23.058338488107836,0.47096934325358575,-9.388788436922255,-0.7216931754176628,-2.7036578238993343,-12.646148671680763,4.933081999999999,13.686782745774963,-3.0473484660142844,-7.320801032218043,-2.4902065167669463
25,-8.772227500340819,-41.80544602721426,-0.1938404049305973,-8.699223476439442,-0.6760801644647287,-4.115556678038047,-13.981738821140922,1.204589999999996,21.34117195703419,-4.137064678551496,-10.848177140872139,-3.890208516766947
26,-9.79364846731886,-36.47950425116551,-1.4617839767071672,-10.039666515956654,-1.0809378775141383,-5.2574515321773845,-16.367324812566324,1.4531549999999953,14.075577168060136,-4.097801719076642,-13.923611521157738,-4.170206516766946
27,-12.040234665776424,-46.68573990694796,-2.9236042299155898,-12.126606555473856,-1.7504902304616294,-9.829354386316538,-15.287921679862848,-1.8929219999999987,3.609970378969706,-5.662841789113926,-15.904789985476981,-5.3002085167669435
28,-11.891706929947816,-48.38059575869704,0.23853024789002575,-13.36953759499103,-1.5418873295280733,-10.44125024045573,-16.936004936396472,-0.9368979999999993,-7.865615410173689,-5.898011560955396,-16.81773160429907,-4.990206516766946
29,-11.900762945905086,-55.226172568999175,-1.9938478680976814,-13.976985634508239,-1.3398900564211047,-12.463150094594909,-16.7291024087597,-0.9464569999999952,-9.801223199334572,-4.8549956546100645,-22.781451445179755,-4.650210516766947
30,-11.372254814423016,-62.65152835054698,-2.689445305268329,-14.985923674025443,-0.8080765048389082,-11.235034948734096,-17.1346899666312,0.6692199999999957,-13.486830988504494,-4.685494707250257,-22.39705027803862,-4.140208516766947
31,-13.633788626864359,-73.15682041044056,-3.3888551103417726,-16.883852713542623,-1.2316532988156723,-16.596945802873307,-19.762783377945624,2.007651999999993,-27.64244077767796,-5.578102786654227,-26.591156587590064,-3.980208516766943
32,-15.52279652238849,-74.94228310377599,-3.519854535160256,-19.370802753059834,-1.2324832467064795,-17.87884065701249,-18.968369272430735,3.5946500000000015,-25.698043566852846,-6.706506558561088,-24.388184243445153,-4.29020951676695
33,-13.879321927757701,-65.94751983661291,-2.692059752693112,-17.827737792577025,-0.1604583670284967,-13.750730511151716,-16.796464181580532,6.453154999999995,-17.123641356028372,-4.723990508327162,-20.45862718411962,-3.5702085167669466
34,-15.048334699375232,-71.09302168566728,-2.8749870751079385,-18.79417983209423,0.12628233053460747,-16.192628365290915,-19.314552820279545,3.957938999999996,-25.01924114520415,-5.474159663235952,-23.425714873473225,-4.04020951676695
35,-12.219858998004128,-60.93829474825441,-2.443279351099463,-15.666108871611428,1.4138843542466475,-12.124532219430108,-15.93764459358988,5.717017999999996,-2.3448329343800083,-1.3741530284626577,-18.127356823770157,-5.130209516766946
