,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,15.689439,15.753504,15.621622,15.684434,15.684434,78169752
1,2010-01-05,15.695195,15.711712,15.554054,15.615365,15.615365,120067812
2,2010-01-06,15.662162,15.662162,15.174174,15.221722,15.221722,158988852
3,2010-01-07,15.25025,15.265265,14.831081,14.867367,14.867367,256315428
4,2010-01-08,14.814815,15.096346,14.742492,15.065566,15.065566,188783028
5,2010-01-11,15.126627,15.126627,14.865866,15.042793,15.042793,288227484
6,2010-01-12,14.956206,14.968969,14.714715,14.776777,14.776777,193937868
7,2010-01-13,14.426677,14.724224,14.361862,14.691942,14.691942,259604136
8,2010-01-14,14.612112,14.86987,14.584835,14.761011,14.761011,169434396
9,2010-01-15,14.848348,14.853854,14.465465,14.514515,14.514515,217162620
10,2010-01-19,14.544545,14.775275,14.421672,14.705205,14.705205,172495332
11,2010-01-20,14.664164,14.664164,14.396647,14.524775,14.524775,129897972
12,2010-01-21,14.600601,14.685185,14.320571,14.589089,14.589089,252055692
13,2010-01-22,14.126627,14.279279,13.384885,13.764014,13.764014,271743984
14,2010-01-25,13.678428,13.760761,13.401151,13.513514,13.513514,176619204
15,2010-01-26,13.462713,13.753754,13.420671,13.574074,13.574074,174045780
16,2010-01-27,13.545295,13.704955,13.396146,13.566066,13.566066,158417424
17,2010-01-28,13.625876,13.688689,13.278278,13.370621,13.370621,129034836
18,2010-01-29,13.475726,13.538288,13.153403,13.261762,13.261762,165454380
19,2010-02-01,13.378378,13.408659,13.270771,13.338839,13.338839,89941968
20,2010-02-02,13.387387,13.387387,13.203453,13.291291,13.291291,163684152
21,2010-02-03,13.22998,13.566066,13.218969,13.534034,13.534034,119844036
22,2010-02-04,13.438438,13.463463,13.152152,13.182683,13.182683,134972892
23,2010-02-05,13.223223,13.350851,13.074575,13.295546,13.295546,126113760
24,2010-02-08,13.325826,13.563564,13.301552,13.3501,13.3501,107664228
25,2010-02-09,13.502002,13.551802,13.39014,13.424424,13.424424,112671216
26,2010-02-10,13.365115,13.458208,13.205455,13.374625,13.374625,106873020
27,2010-02-11,13.346346,13.525776,13.250751,13.423423,13.423423,96303600
28,2010-02-12,13.337588,13.442192,13.275776,13.341341,13.341341,91096812
29,2010-02-16,13.435185,13.616867,13.370871,13.546046,13.546046,146029824
30,2010-02-17,13.563564,13.598599,13.453704,13.468719,13.468719,81106812
31,2010-02-18,13.451952,13.638889,13.416917,13.594094,13.594094,93382524
32,2010-02-19,13.526777,13.614364,13.506006,13.532533,13.532533,102021876
33,2010-02-22,13.697447,13.701201,13.538539,13.583584,13.583584,85698216
34,2010-02-23,13.588589,13.604354,13.320571,13.39014,13.39014,114789096
35,2010-02-24,13.362863,13.474474,13.276026,13.30005,13.30005,92970936
36,2010-02-25,13.191191,13.225475,13.013013,13.173924,13.173924,132235632
37,2010-02-26,13.198699,13.307057,13.1001,13.183183,13.183183,81890028
38,2010-03-01,13.243243,13.345596,13.206707,13.330581,13.330581,89426484
39,2010-03-02,13.4004,13.655155,13.388639,13.54004,13.54004,174097728
40,2010-03-03,13.572573,13.716717,13.494745,13.646647,13.646647,123452424
41,2010-03-04,13.676176,13.917167,13.668669,13.878629,13.878629,127224648
42,2010-03-05,14.047798,14.205956,14.011512,14.119369,14.119369,156331512
43,2010-03-08,14.133634,14.143644,14.039289,14.076076,14.076076,95360544
44,2010-03-09,14.01026,14.130631,13.926426,14.018769,14.018769,126936936
45,2010-03-10,14.108108,14.476977,14.069319,14.425676,14.425676,225969804
46,2010-03-11,14.370871,14.66992,14.369369,14.543043,14.543043,169162668
47,2010-03-12,14.718218,14.721722,14.493493,14.503003,14.503003,110025864
48,2010-03-15,14.181181,14.250501,13.913914,14.093594,14.093594,185969844
49,2010-03-16,14.05981,14.224725,14.033033,14.144144,14.144144,137122740
50,2010-03-17,14.221722,14.300551,14.12037,14.153153,14.153153,132731136
51,2010-03-18,14.132132,14.225225,14.088088,14.174174,14.174174,71016912
52,2010-03-19,14.014014,14.214214,13.945946,14.014014,14.014014,191576232
53,2010-03-22,13.916667,14.185435,13.870871,13.951451,13.951451,160031808
54,2010-03-23,13.93994,13.971722,13.563564,13.738739,13.738739,219831948
55,2010-03-24,13.651401,14.01026,13.506006,13.947197,13.947197,262345392
56,2010-03-25,13.989489,14.314314,13.98048,14.086086,14.086086,157078764
57,2010-03-26,14.145896,14.198949,14.014515,14.081331,14.081331,107740152
58,2010-03-29,14.089089,14.132132,14.028278,14.075325,14.075325,124055820
59,2010-03-30,14.084835,14.204955,14.021021,14.181932,14.181932,79036884
60,2010-03-31,14.14039,14.257758,14.084334,14.192192,14.192192,121110768
61,2010-04-01,14.298048,14.350601,14.152903,14.234234,14.234234,84023892
62,2010-04-05,14.286787,14.386386,14.239239,14.28954,14.28954,75983940
63,2010-04-06,14.250751,14.286537,14.149149,14.21972,14.21972,82321596
64,2010-04-07,14.196697,14.232983,14.060561,14.102603,14.102603,103136760
65,2010-04-08,14.097097,14.260511,14.015265,14.201451,14.201451,77822100
66,2010-04-09,14.201451,14.233483,14.114114,14.16967,14.16967,82181736
67,2010-04-12,14.197948,14.364364,14.16967,14.332583,14.332583,94001904
68,2010-04-13,14.327578,14.736737,14.292543,14.683934,14.683934,156335508
69,2010-04-14,14.766266,14.823323,14.614865,14.73974,14.73974,135971892
70,2010-04-15,14.819069,14.960961,14.721972,14.897397,14.897397,270201528
71,2010-04-16,14.089089,14.234484,13.754505,13.767518,13.767518,488930580
72,2010-04-19,13.732482,13.863614,13.638639,13.766266,13.766266,155604240
73,2010-04-20,13.868118,14.005506,13.79029,13.88989,13.88989,118976904
74,2010-04-21,13.925425,14.02027,13.817818,13.871371,13.871371,95564340
75,2010-04-22,13.813814,13.826326,13.597347,13.69019,13.69019,131096772
76,2010-04-23,13.694945,13.746747,13.57032,13.638388,13.638388,83492424
77,2010-04-26,13.637888,13.638388,13.243493,13.304304,13.304304,174577248
78,2010-04-27,13.236987,13.471722,13.193944,13.23974,13.23974,153634212
79,2010-04-28,13.315816,13.384134,13.038789,13.242993,13.242993,136107756
80,2010-04-29,13.347598,13.425926,13.17993,13.313313,13.313313,122233644
81,2010-04-30,13.291542,13.455455,13.149149,13.155656,13.155656,97318584
82,2010-05-03,13.175676,13.336336,13.14014,13.278278,13.278278,74237688
83,2010-05-04,13.176176,13.181682,12.617868,12.671922,12.671922,242808948
84,2010-05-05,12.537037,12.905906,12.524274,12.756757,12.756757,183104712
85,2010-05-06,12.731481,12.950951,11.511512,12.479229,12.479229,199803996
86,2010-05-07,12.511762,12.645646,12.045295,12.340841,12.340841,203356440
87,2010-05-10,12.862112,13.083584,12.827828,13.054304,13.054304,164954880
88,2010-05-11,12.904655,13.01001,12.718218,12.738989,12.738989,132771096
89,2010-05-12,12.813814,12.813814,12.562563,12.647397,12.647397,153917928
90,2010-05-13,12.925425,13.063063,12.772022,12.784785,12.784785,132898968
91,2010-05-14,12.757007,12.787538,12.418669,12.700951,12.700951,164475360
92,2010-05-17,12.682182,12.721722,12.471221,12.711962,12.711962,111640248
93,2010-05-18,12.762763,12.787037,12.439189,12.471722,12.471722,112906980
94,2010-05-19,12.418919,12.498498,12.205706,12.373123,12.373123,137690172
95,2010-05-20,12.138889,12.151652,11.856857,11.887137,11.887137,196335468
96,2010-05-21,11.738238,12.137137,11.621622,11.813063,11.813063,387244368
97,2010-05-24,12.03028,12.257007,11.931932,11.940941,11.940941,173650176
98,2010-05-25,11.715465,11.948198,11.611862,11.938689,11.938689,120575304
99,2010-05-26,12.063814,12.256256,11.886887,11.898649,11.898649,138884976
100,2010-05-27,12.135886,12.32007,12.038288,12.273774,12.273774,112251636
101,2010-05-28,12.330831,12.348599,12.087087,12.152903,12.152903,115676208
102,2010-06-01,12.022773,12.288789,12.015015,12.071321,12.071321,106565328
103,2010-06-02,12.179179,12.359109,12.048549,12.346597,12.346597,101530368
104,2010-06-03,12.39014,12.712713,12.37988,12.652653,12.652653,145881972
105,2010-06-04,12.505506,12.743994,12.42993,12.48048,12.48048,156655188
106,2010-06-07,12.488989,12.535285,12.090841,12.15015,12.15015,145162692
107,2010-06-08,12.208458,12.233233,11.95045,12.131632,12.131632,107296596
108,2010-06-09,12.192693,12.234234,11.811812,11.862362,11.862362,109050840
109,2010-06-10,12.021271,12.224725,11.907908,12.187437,12.187437,103012884
110,2010-06-11,12.074575,12.22998,12.052553,12.224725,12.224725,71196732
111,2010-06-14,12.374374,12.374875,12.091842,12.091842,12.091842,81534384
112,2010-06-15,12.089089,12.522523,12.066567,12.462212,12.462212,170213616
113,2010-06-16,12.416667,12.612613,12.415165,12.544294,12.544294,91480428
114,2010-06-17,12.598849,12.659409,12.42968,12.514515,12.514515,79012908
115,2010-06-18,12.575325,12.599349,12.465716,12.513263,12.513263,114801084
116,2010-06-21,12.51001,12.536787,12.134384,12.226226,12.226226,119220660
117,2010-06-22,12.25976,12.427427,12.155405,12.168418,12.168418,88699212
118,2010-06-23,12.184434,12.184434,11.965966,12.063313,12.063313,81082836
119,2010-06-24,12.003504,12.080831,11.843343,11.889389,11.889389,75668256
